"","Location","Sample","logMFI","Dilution","antigen","file_name","flagged_run","date_plate","min","max","lower_bound","upper_bound","Flag","Conc","trim_lo","trim_up"
"Rh220_1.43","43(1,C6)","NS1162",5.91079664404053,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0284157380905438,3.80666248977032,9.22413395452614
"Rh220_1.44","44(1,D6)","NS1278",4.89783979995091,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0157346027652951,3.80666248977032,9.22413395452614
"Rh220_1.45","45(1,E6)","NS1002",8.77454491406018,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.218587186296328,3.80666248977032,9.22413395452614
"Rh220_1.46","46(1,F6)","NS1184",4.34380542185368,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0111739556015431,3.80666248977032,9.22413395452614
"Rh220_1.47","47(1,G6)","NS1292",8.51258257885855,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.165432110647005,3.80666248977032,9.22413395452614
"Rh220_1.48","48(1,H6)","NS1027",5.427150238391,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0214963620845059,3.80666248977032,9.22413395452614
"Rh220_1.49","49(1,A7)","NS2196",6.54750251369552,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0411027600735494,3.80666248977032,9.22413395452614
"Rh220_1.50","50(1,B7)","NS1003",5.55489569394848,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0231476844023938,3.80666248977032,9.22413395452614
"Rh220_1.51","51(1,C7)","NS2026",3.76120011569356,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"below_min",0.00782279787906226,3.80666248977032,9.22413395452614
"Rh220_1.52","52(1,D7)","NS2040",5.12989871492307,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0180649423950386,3.80666248977032,9.22413395452614
"Rh220_1.53","53(1,E7)","NS2087",6.76849321164863,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0468649897417399,3.80666248977032,9.22413395452614
"Rh220_1.54","54(1,F7)","NS1076",7.68593270872666,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0844226615407981,3.80666248977032,9.22413395452614
"Rh220_1.55","55(1,G7)","NS1126",6.37161184723186,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0370827555255187,3.80666248977032,9.22413395452614
"Rh220_1.56","56(1,H7)","NS2070",5.92023703781961,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0285704835484761,3.80666248977032,9.22413395452614
"Rh220_1.57","57(1,A8)","NS1257",7.47164762368482,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.072912373522091,3.80666248977032,9.22413395452614
"Rh220_1.58","58(1,B8)","NS2167",4.20469261939097,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0102164732573357,3.80666248977032,9.22413395452614
